epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7379,0.7194,0.6059181614807915,0.7379,1
2,0.7718,0.7466,0.5491612067846757,0.7718,2
3,0.7918,0.7622,0.5309812130322477,0.7918,3
4,0.8037,0.7674,0.5135871414224251,0.8037,4
5,0.81,0.7698,0.499853427915832,0.81,5
6,0.8135,0.7704,0.49091319716037357,0.8135,6
7,0.8161,0.7717,0.4848769041706847,0.8161,7
8,0.8186,0.7727,0.48096290816483206,0.8186,8
9,0.8201,0.7737,0.47734157860620036,0.8201,9
10,0.8216,0.774,0.47485581868525095,0.8216,10
11,0.8227,0.7746,0.4724909526196835,0.8227,11
12,0.8239,0.7753,0.4709382378443314,0.8239,12
13,0.825,0.7755,0.4691037177089073,0.825,13
14,0.825,0.7755,0.4669620802009811,0.825,13
15,0.8269,0.7766,0.46539041939681697,0.8269,15
16,0.8269,0.7766,0.46415467467284416,0.8269,15
17,0.8286,0.7782,0.4626812364784099,0.8286,17
18,0.8297,0.7789,0.4616933169522686,0.8297,18
19,0.8297,0.7789,0.4607492463968721,0.8297,18
20,0.8312,0.7801,0.4591095338986546,0.8312,20
21,0.8312,0.7801,0.458196601032489,0.8312,20
22,0.8335,0.781,0.45606738654429724,0.8335,22
23,0.8348,0.7818,0.4542503083767309,0.8348,23
24,0.8362,0.7828,0.4525629565253717,0.8362,24
25,0.8378,0.7837,0.45058356881199463,0.8378,25
26,0.8393,0.7841,0.44883060244779777,0.8393,26
27,0.8408,0.7841,0.44623737641642697,0.8408,27
28,0.8428,0.7849,0.4444475953146718,0.8428,28
29,0.844,0.7853,0.4420424926846014,0.844,29
30,0.8455,0.7861,0.43938970010202966,0.8455,30
31,0.8468,0.7864,0.4370190095736291,0.8468,31
32,0.8468,0.7864,0.43474706958252246,0.8468,31
33,0.8482,0.7875,0.4327605757391026,0.8482,33
34,0.8482,0.7875,0.4302967439883891,0.8482,33
35,0.8499,0.7887,0.42804620623787054,0.8499,35
36,0.8499,0.7887,0.42627299480997727,0.8499,35
37,0.8512,0.7892,0.42339644018891814,0.8512,37
38,0.8512,0.7892,0.4214129642904704,0.8512,37
39,0.8512,0.7892,0.42002731485258443,0.8512,37
40,0.8527,0.7907,0.4181449913459589,0.8527,40
41,0.8527,0.7907,0.41510111244459785,0.8527,40
42,0.8527,0.7907,0.4136211259842108,0.8527,40
43,0.8527,0.7907,0.4123411896730855,0.8527,40
44,0.854,0.7913,0.4099405065809712,0.854,44
45,0.854,0.7913,0.4076950790342784,0.854,44
46,0.854,0.7913,0.406189320337314,0.854,44
47,0.854,0.7913,0.40430158059959576,0.854,44
48,0.854,0.7913,0.40237104225110576,0.854,44
49,0.855,0.7921,0.4019480392684687,0.855,49
50,0.855,0.7921,0.39945691624595664,0.855,49
51,0.855,0.7921,0.3990587188550451,0.855,49
52,0.855,0.7921,0.3972781417097943,0.855,49
53,0.855,0.7921,0.3964983615356917,0.855,49
54,0.855,0.7921,0.394805882870884,0.855,49
55,0.855,0.7921,0.39383880198818594,0.855,49
56,0.855,0.7921,0.39171606536882986,0.855,49
57,0.855,0.7921,0.3920595184327981,0.855,49
58,0.855,0.7921,0.3900422482329955,0.855,49
59,0.855,0.7921,0.38935695033207257,0.855,49
