epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7342,0.7272,0.9493273346404038,0.7342,1
2,0.7648,0.7433,0.8900209088770388,0.7648,2
3,0.7845,0.7539,0.8671151198056573,0.7845,3
4,0.7969,0.7642,0.8476507717284393,0.7969,4
5,0.802,0.7657,0.8348212246468003,0.802,5
6,0.8037,0.7671,0.8232009175578908,0.8037,6
7,0.8081,0.7693,0.8187899543635885,0.8081,7
8,0.8093,0.7695,0.8148365466579471,0.8093,8
9,0.811,0.7709,0.8109751819009173,0.811,9
10,0.811,0.7709,0.8077325653753872,0.811,9
11,0.8135,0.7724,0.8053974195317599,0.8135,11
12,0.8149,0.7719,0.8049407886972254,0.8149,12
13,0.8149,0.7719,0.8021863942112173,0.8149,12
14,0.8162,0.7732,0.799913176140154,0.8162,14
15,0.8162,0.7732,0.7973464246277824,0.8162,14
16,0.8185,0.7731,0.7965300808052179,0.8185,16
17,0.8196,0.7741,0.7941240859003061,0.8196,17
18,0.8196,0.7741,0.7929273126364014,0.8196,17
19,0.821,0.7753,0.7914191774117054,0.821,19
20,0.8231,0.7767,0.7905047659073952,0.8231,20
21,0.8231,0.7767,0.7895567038445213,0.8231,20
22,0.8251,0.7777,0.7863951957510753,0.8251,22
23,0.8261,0.7779,0.7842479892505071,0.8261,23
24,0.8284,0.7775,0.7836551184225272,0.8284,24
25,0.8284,0.7775,0.7805417001569819,0.8284,24
26,0.8302,0.7778,0.7792473654508263,0.8302,26
27,0.8323,0.7807,0.7768527075637964,0.8323,27
28,0.8335,0.7814,0.7743977699886506,0.8335,28
29,0.8335,0.7814,0.771651799700016,0.8335,28
30,0.8352,0.7816,0.7702506710682908,0.8352,30
31,0.8367,0.7841,0.7671504711056302,0.8367,31
32,0.8367,0.7841,0.7661138670050582,0.8367,31
33,0.8377,0.7839,0.7629668062946142,0.8377,33
34,0.8377,0.7839,0.761035252596495,0.8377,33
35,0.8389,0.7853,0.7605486115190796,0.8389,35
36,0.8389,0.7853,0.7588477038870406,0.8389,35
37,0.8402,0.7845,0.7558101858886275,0.8402,37
38,0.8412,0.7853,0.7536130508163087,0.8412,38
39,0.8412,0.7853,0.752103222349008,0.8412,38
40,0.8412,0.7853,0.7506457354178266,0.8412,38
41,0.8412,0.7853,0.747634697576879,0.8412,38
42,0.8423,0.7861,0.7462333306014854,0.8423,42
43,0.8423,0.7861,0.7451391300393716,0.8423,42
44,0.8423,0.7861,0.7433576816104749,0.8423,42
45,0.8423,0.7861,0.740463531493931,0.8423,42
46,0.8423,0.7861,0.7384662653344066,0.8423,42
47,0.8439,0.7858,0.7375579098271569,0.8439,47
48,0.8439,0.7858,0.734520457113352,0.8439,47
49,0.8439,0.7858,0.7346078063039636,0.8439,47
50,0.8439,0.7858,0.7329212689196057,0.8439,47
51,0.8439,0.7858,0.7300190198632626,0.8439,47
52,0.8439,0.7858,0.7295037336491382,0.8439,47
53,0.8439,0.7858,0.7289350961245055,0.8439,47
54,0.8439,0.7858,0.7261013928394551,0.8439,47
55,0.8439,0.7858,0.7247641080629529,0.8439,47
56,0.8439,0.7858,0.7242096729901194,0.8439,47
57,0.8439,0.7858,0.721732974114347,0.8439,47
