epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7429,0.7027,0.9905103146269439,0.7429,1
2,0.8296,0.8096,0.8482983219004221,0.8296,2
3,0.8694,0.8311,0.7640534320455519,0.8694,3
4,0.8827,0.842,0.7220678693300635,0.8827,4
5,0.8895,0.8456,0.6987442976498897,0.8895,5
6,0.8944,0.8485,0.6843470165910351,0.8944,6
7,0.8981,0.8506,0.6743323803413699,0.8981,7
8,0.9016,0.8517,0.6649852488350081,0.9016,8
9,0.9043,0.8532,0.6585793252023535,0.9043,9
10,0.906,0.8545,0.6535607780896824,0.906,10
11,0.9086,0.8563,0.6484114670026097,0.9086,11
12,0.9108,0.8569,0.6439385493759565,0.9108,12
13,0.9133,0.8578,0.6396402565337701,0.9133,13
14,0.9157,0.8596,0.6351905661936119,0.9157,14
15,0.9192,0.8621,0.6290554600365889,0.9192,15
16,0.9213,0.8633,0.6242359335893856,0.9213,16
17,0.9234,0.8666,0.6186071188061975,0.9234,17
18,0.9244,0.8681,0.6134458649539664,0.9244,18
19,0.9257,0.8691,0.6085759586474536,0.9257,19
20,0.9257,0.8691,0.6039824272563278,0.9257,19
21,0.9257,0.8691,0.5990648638480313,0.9257,19
22,0.9257,0.8691,0.594281089527822,0.9257,19
23,0.9257,0.8691,0.590118283907565,0.9257,19
24,0.9257,0.8691,0.5862785456206085,0.9257,19
25,0.9257,0.8691,0.5820759541590461,0.9257,19
26,0.9257,0.8691,0.5783809567519382,0.9257,19
27,0.9257,0.8691,0.5747591160414943,0.9257,19
28,0.9257,0.8691,0.5697452100449288,0.9257,19
29,0.9257,0.8691,0.5658538915836975,0.9257,19
