epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6968,0.7469,0.8857831606328397,0.6968,1
2,0.7084,0.7497,0.8501098209720164,0.7084,2
3,0.7169,0.7529,0.8423586220984891,0.7169,3
4,0.7218,0.7542,0.8364823791295861,0.7218,4
5,0.7246,0.7546,0.8344954146907251,0.7246,5
6,0.726,0.756,0.8318081687425868,0.726,6
7,0.7273,0.7571,0.8296976261772896,0.7273,7
8,0.7273,0.7571,0.8280640805768796,0.7273,7
9,0.7289,0.757,0.8267345691483162,0.7289,9
10,0.7289,0.757,0.825810682770594,0.7289,9
11,0.7302,0.7578,0.8252512229633563,0.7302,11
12,0.7302,0.7578,0.8239858415123217,0.7302,11
13,0.7302,0.7578,0.8232902036290035,0.7302,11
14,0.7302,0.7578,0.8227923447796754,0.7302,11
15,0.7302,0.7578,0.82155846073256,0.7302,11
16,0.7314,0.758,0.8213534462557128,0.7314,16
17,0.7314,0.758,0.8208237783623595,0.7314,16
18,0.7314,0.758,0.8198785361223667,0.7314,16
19,0.7314,0.758,0.8195483192768267,0.7314,16
20,0.7324,0.7583,0.8195182152431774,0.7324,20
21,0.7324,0.7583,0.8184364497423157,0.7324,20
22,0.7324,0.7583,0.8176077239434255,0.7324,20
23,0.7324,0.7583,0.8178115762762681,0.7324,20
24,0.7324,0.7583,0.8171172497961118,0.7324,20
25,0.7324,0.7583,0.8162270164474833,0.7324,20
26,0.7324,0.7583,0.8160775609804138,0.7324,20
27,0.7324,0.7583,0.8163712615705307,0.7324,20
28,0.7324,0.7583,0.8154459637666291,0.7324,20
29,0.7337,0.7583,0.8148338388828265,0.7337,29
30,0.7337,0.7583,0.8150951449630185,0.7337,29
31,0.7337,0.7583,0.8142552159778765,0.7337,29
32,0.7337,0.7583,0.8138574256776459,0.7337,29
33,0.7337,0.7583,0.8138780184014157,0.7337,29
34,0.7337,0.7583,0.8132800962124104,0.7337,29
35,0.7337,0.7583,0.8132505410916352,0.7337,29
36,0.7337,0.7583,0.8133699037281622,0.7337,29
37,0.7337,0.7583,0.8122966309145414,0.7337,29
38,0.7337,0.7583,0.8123388719123263,0.7337,29
39,0.7337,0.7583,0.8113011126244225,0.7337,29
