epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7032,0.8331,0.7279938471122269,0.7032,1
2,0.7456,0.8385,0.6618776292360339,0.7456,2
3,0.758,0.8407,0.6467104007348675,0.758,3
4,0.7656,0.8422,0.6398982794171695,0.7656,4
5,0.7709,0.8431,0.6355541274720837,0.7709,5
6,0.7759,0.8439,0.6321569167187473,0.7759,6
7,0.7803,0.8444,0.6289858487255098,0.7803,7
8,0.7881,0.8457,0.6253821475490117,0.7881,8
9,0.7915,0.8468,0.6211350382865422,0.7915,9
10,0.7965,0.8475,0.6175904242932305,0.7965,10
11,0.8013,0.8484,0.6141427040115185,0.8013,11
12,0.8048,0.8489,0.6111857015503912,0.8048,12
13,0.8071,0.8499,0.608360491350403,0.8071,13
14,0.8071,0.8499,0.6057291413688471,0.8071,13
15,0.8108,0.8511,0.6036092756150974,0.8108,15
16,0.8108,0.8511,0.6015515155317955,0.8108,15
17,0.8122,0.8516,0.5995875539058976,0.8122,17
18,0.8137,0.8519,0.5978505042570103,0.8137,18
19,0.8137,0.8519,0.5958144139208416,0.8137,18
20,0.8158,0.8524,0.5943383933168841,0.8158,20
21,0.8158,0.8524,0.5925070607582937,0.8158,20
22,0.8158,0.8524,0.5905388763301445,0.8158,20
23,0.8174,0.8537,0.5892496965294857,0.8174,23
24,0.8174,0.8537,0.5874959216523628,0.8174,23
25,0.8174,0.8537,0.5857177313013444,0.8174,23
26,0.8174,0.8537,0.5840950993534432,0.8174,23
27,0.8174,0.8537,0.5823500972406744,0.8174,23
28,0.8174,0.8537,0.5806120671296876,0.8174,23
29,0.8185,0.8544,0.5793540413064817,0.8185,29
30,0.8185,0.8544,0.5775785450345644,0.8185,29
31,0.8185,0.8544,0.5757401805556618,0.8185,29
32,0.8185,0.8544,0.5743689528878568,0.8185,29
33,0.8185,0.8544,0.5728585776307548,0.8185,29
34,0.8185,0.8544,0.571227053443975,0.8185,29
35,0.8185,0.8544,0.5698685337228112,0.8185,29
36,0.8185,0.8544,0.5680101124019841,0.8185,29
37,0.8185,0.8544,0.5668362562752843,0.8185,29
38,0.8185,0.8544,0.5654647230942582,0.8185,29
39,0.8185,0.8544,0.5639939336833611,0.8185,29
