epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7214,0.6641,1.1898222688141795,0.7214,1
2,0.7258,0.6683,1.0724899585472607,0.7258,2
3,0.7299,0.6703,1.0274868052811938,0.7299,3
4,0.7339,0.6722,1.0039167620796166,0.7339,4
5,0.7402,0.6775,0.9895426733118378,0.7402,5
6,0.7468,0.6836,0.9808736352345592,0.7468,6
7,0.7547,0.6912,0.9698579927175299,0.7547,7
8,0.7614,0.6941,0.9618183731695883,0.7614,8
9,0.7659,0.7007,0.9536086692297242,0.7659,9
10,0.772,0.7056,0.9459091741762756,0.772,10
11,0.7759,0.7098,0.9406576968199515,0.7759,11
12,0.7783,0.7122,0.9351025660170251,0.7783,12
13,0.7808,0.7128,0.9313649706813832,0.7808,13
14,0.7808,0.7128,0.9272349291337106,0.7808,13
15,0.7839,0.7167,0.92354885053848,0.7839,15
16,0.7839,0.7167,0.9222108630015131,0.7839,15
17,0.7855,0.7167,0.9210912317368483,0.7855,17
18,0.7855,0.7167,0.920643821105463,0.7855,17
19,0.7871,0.7181,0.916320105487441,0.7871,19
20,0.7871,0.7181,0.9186003599589041,0.7871,19
21,0.7871,0.7181,0.9124595338252958,0.7871,19
22,0.7884,0.716,0.9134947467453111,0.7884,22
23,0.7884,0.716,0.9157276316790084,0.7884,22
24,0.7884,0.716,0.91309143710683,0.7884,22
25,0.7903,0.7215,0.9145756712614772,0.7903,25
26,0.7903,0.7215,0.9129829337383497,0.7903,25
27,0.7903,0.7215,0.911671518054525,0.7903,25
28,0.7903,0.7215,0.9117829922566714,0.7903,25
29,0.7903,0.7215,0.9122707213301301,0.7903,25
30,0.7903,0.7215,0.9110466976477823,0.7903,25
31,0.7903,0.7215,0.9100002665132483,0.7903,25
32,0.7916,0.7232,0.9105335455605198,0.7916,32
33,0.7916,0.7232,0.9100330766351672,0.7916,32
34,0.7916,0.7232,0.9082769483639577,0.7916,32
35,0.7916,0.7232,0.9092190365268011,0.7916,32
36,0.7916,0.7232,0.9062644296054536,0.7916,32
37,0.7926,0.7242,0.9085757251930372,0.7926,37
38,0.7926,0.7242,0.9042192295172252,0.7926,37
39,0.7926,0.7242,0.9059126501014118,0.7926,37
40,0.7926,0.7242,0.9076297050506474,0.7926,37
41,0.7926,0.7242,0.9027511101832989,0.7926,37
42,0.7926,0.7242,0.9061068177538391,0.7926,37
43,0.7926,0.7242,0.9069480285023431,0.7926,37
44,0.7926,0.7242,0.9046124264837964,0.7926,37
45,0.7937,0.7247,0.9046745760844811,0.7937,45
46,0.7937,0.7247,0.9058911886642307,0.7937,45
47,0.7937,0.7247,0.9034687482360976,0.7937,45
48,0.7937,0.7247,0.9047714853219656,0.7937,45
49,0.7937,0.7247,0.902527869466171,0.7937,45
50,0.7937,0.7247,0.9006094874820196,0.7937,45
51,0.7937,0.7247,0.9001798397557254,0.7937,45
52,0.7937,0.7247,0.9025927177609696,0.7937,45
53,0.7937,0.7247,0.8975495136659425,0.7937,45
54,0.7937,0.7247,0.9025263115314399,0.7937,45
55,0.7937,0.7247,0.9021183219624183,0.7937,45
