epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7126,0.7493,0.5378129925220152,0.7126,1
2,0.7232,0.7542,0.5207714309919902,0.7232,2
3,0.7266,0.7558,0.5161422918446072,0.7266,3
4,0.7287,0.7563,0.5136617186568004,0.7287,4
5,0.7298,0.7567,0.5119469351623596,0.7298,5
6,0.7298,0.7567,0.5107082834195863,0.7298,5
7,0.7313,0.7578,0.5099104621891439,0.7313,7
8,0.7313,0.7578,0.5086793750436246,0.7313,7
9,0.7324,0.7581,0.5079510905195539,0.7324,9
10,0.7324,0.7581,0.5071354737638905,0.7324,9
11,0.7324,0.7581,0.506622454072107,0.7324,9
12,0.7324,0.7581,0.5057922419138763,0.7324,9
13,0.7324,0.7581,0.5050054636575623,0.7324,9
14,0.7324,0.7581,0.5048489858952978,0.7324,9
15,0.7324,0.7581,0.5039216138873565,0.7324,9
16,0.7324,0.7581,0.5032450941478085,0.7324,9
17,0.7324,0.7581,0.502928405785812,0.7324,9
18,0.7324,0.7581,0.5022127902079971,0.7324,9
19,0.7324,0.7581,0.5016569640373558,0.7324,9
