epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7344,0.6746,0.616320698322845,0.7344,1
2,0.7482,0.6863,0.5973789013525598,0.7482,2
3,0.7683,0.7029,0.5825126736045803,0.7683,3
4,0.7795,0.7133,0.5654829183150676,0.7795,4
5,0.7844,0.7169,0.5565903264633895,0.7844,5
6,0.787,0.7187,0.5523059227052194,0.787,6
7,0.7883,0.7195,0.5494782905531176,0.7883,7
8,0.7894,0.7201,0.5478425592479477,0.7894,8
9,0.7894,0.7201,0.5464374176856608,0.7894,8
10,0.7909,0.7213,0.5452034304120771,0.7909,10
11,0.7909,0.7213,0.5442495224980067,0.7909,10
12,0.792,0.7214,0.5432294119729131,0.792,12
13,0.792,0.7214,0.5425394947864555,0.792,12
14,0.792,0.7214,0.541739278566631,0.792,12
15,0.7932,0.7222,0.5408236252901865,0.7932,15
16,0.7932,0.7222,0.5401915322297826,0.7932,15
17,0.7932,0.7222,0.5396753716138069,0.7932,15
18,0.7932,0.7222,0.5392016315542179,0.7932,15
19,0.7932,0.7222,0.5388206056425389,0.7932,15
20,0.7944,0.7231,0.5381809170850693,0.7944,20
21,0.7944,0.7231,0.5376157272589906,0.7944,20
22,0.7944,0.7231,0.5374462880817806,0.7944,20
23,0.7944,0.7231,0.5369033194134619,0.7944,20
24,0.7944,0.7231,0.5365612125130007,0.7944,20
25,0.7954,0.7238,0.5359749987135057,0.7954,25
26,0.7954,0.7238,0.5356877781243902,0.7954,25
27,0.7954,0.7238,0.5353943510798367,0.7954,25
28,0.7954,0.7238,0.5349654497342743,0.7954,25
29,0.7954,0.7238,0.5345579781119277,0.7954,25
30,0.7954,0.7238,0.5342489532056363,0.7954,25
31,0.7954,0.7238,0.5341686756839752,0.7954,25
32,0.7954,0.7238,0.5336977207335748,0.7954,25
33,0.7965,0.725,0.5335671281236701,0.7965,33
34,0.7965,0.725,0.5330744344512698,0.7965,33
35,0.7965,0.725,0.5330059212692385,0.7965,33
36,0.7965,0.725,0.5326277431719931,0.7965,33
37,0.7965,0.725,0.5322764913340251,0.7965,33
38,0.7965,0.725,0.5322537411701372,0.7965,33
39,0.7965,0.725,0.531681930822521,0.7965,33
40,0.7965,0.725,0.5315259496666729,0.7965,33
41,0.7965,0.725,0.5313451815045169,0.7965,33
42,0.7965,0.725,0.5310208720061346,0.7965,33
43,0.7965,0.725,0.5308088274509655,0.7965,33
