epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7281,0.6698,0.6219636545741736,0.7281,1
2,0.7386,0.6779,0.6032896915468194,0.7386,2
3,0.7527,0.6901,0.5936457728066123,0.7527,3
4,0.7675,0.702,0.5803482125283947,0.7675,4
5,0.776,0.7099,0.5688684445111696,0.776,5
6,0.7808,0.7137,0.5615592017539098,0.7808,6
7,0.7831,0.7154,0.5571006888817716,0.7831,7
8,0.7846,0.7164,0.5543877503432834,0.7846,8
9,0.7856,0.7171,0.5524936301037736,0.7856,9
10,0.7856,0.7171,0.5511099861345948,0.7856,9
11,0.7869,0.7178,0.5499738745758543,0.7869,11
12,0.7869,0.7178,0.5491519631731102,0.7869,11
13,0.788,0.7185,0.5482096008500313,0.788,13
14,0.788,0.7185,0.547473003102085,0.788,13
15,0.788,0.7185,0.5467752501647242,0.788,13
16,0.7892,0.7194,0.5461670673204156,0.7892,16
17,0.7892,0.7194,0.545558206261997,0.7892,16
18,0.7892,0.7194,0.5450710349941192,0.7892,16
19,0.7892,0.7194,0.5444891727387762,0.7892,16
20,0.7904,0.7204,0.5441697295982935,0.7904,20
21,0.7904,0.7204,0.5436143040803698,0.7904,20
22,0.7904,0.7204,0.5431636057272516,0.7904,20
23,0.7904,0.7204,0.5427159944898505,0.7904,20
24,0.7904,0.7204,0.5422220078825336,0.7904,20
25,0.7915,0.7211,0.5419615651742802,0.7915,25
26,0.7915,0.7211,0.5414569191738617,0.7915,25
27,0.7915,0.7211,0.5411370141352638,0.7915,25
28,0.7915,0.7211,0.541046947411075,0.7915,25
29,0.7915,0.7211,0.5403748138870985,0.7915,25
30,0.7926,0.7221,0.5401283869400886,0.7926,30
31,0.7926,0.7221,0.5398126379527274,0.7926,30
32,0.7926,0.7221,0.5394648438477163,0.7926,30
33,0.7926,0.7221,0.5391408229521986,0.7926,30
34,0.7926,0.7221,0.5389898810756133,0.7926,30
35,0.7926,0.7221,0.5387554858098862,0.7926,30
36,0.7926,0.7221,0.5384505687064897,0.7926,30
37,0.7937,0.7231,0.5381292358365929,0.7937,37
38,0.7937,0.7231,0.5378536974621569,0.7937,37
39,0.7937,0.7231,0.537542337440595,0.7937,37
40,0.7937,0.7231,0.5374980905949394,0.7937,37
41,0.7937,0.7231,0.5371025397877895,0.7937,37
42,0.7937,0.7231,0.5368755340645138,0.7937,37
43,0.7937,0.7231,0.5367289754505357,0.7937,37
44,0.7937,0.7231,0.5364235116159349,0.7937,37
45,0.7937,0.7231,0.5364342416621657,0.7937,37
46,0.7937,0.7231,0.5359657706736899,0.7937,37
47,0.7948,0.7239,0.535880472312251,0.7948,47
48,0.7948,0.7239,0.5355215242637549,0.7948,47
49,0.7948,0.7239,0.5355626740789631,0.7948,47
50,0.7948,0.7239,0.535409831328764,0.7948,47
51,0.7948,0.7239,0.5350579671476923,0.7948,47
52,0.7948,0.7239,0.5349145235025269,0.7948,47
53,0.7948,0.7239,0.5347788972891859,0.7948,47
54,0.7948,0.7239,0.5345393474564208,0.7948,47
55,0.7948,0.7239,0.5344631495578025,0.7948,47
56,0.7948,0.7239,0.5342993748384122,0.7948,47
57,0.7948,0.7239,0.5341414588296842,0.7948,47
