epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7077,0.7486,0.5399112600091893,0.7077,1
2,0.7206,0.7529,0.5226924857992806,0.7206,2
3,0.7253,0.7555,0.5176455243364276,0.7253,3
4,0.7273,0.7559,0.5149258375254772,0.7273,4
5,0.7286,0.7569,0.5132600424297568,0.7286,5
6,0.7286,0.7569,0.5119539339578838,0.7286,5
7,0.73,0.7571,0.5109584216160525,0.73,7
8,0.73,0.7571,0.510132394080246,0.73,7
9,0.73,0.7571,0.5096103523843533,0.73,7
10,0.7311,0.7575,0.5087621816041178,0.7311,10
11,0.7311,0.7575,0.5082910104860918,0.7311,10
12,0.7311,0.7575,0.5074720125614114,0.7311,10
13,0.7322,0.7577,0.5068397654104526,0.7322,13
14,0.7322,0.7577,0.5063738044115723,0.7322,13
15,0.7322,0.7577,0.5060843997388212,0.7322,13
16,0.7322,0.7577,0.5056013716480882,0.7322,13
17,0.7322,0.7577,0.5051252922481086,0.7322,13
18,0.7322,0.7577,0.5044447347097432,0.7322,13
19,0.7322,0.7577,0.5042071149619329,0.7322,13
20,0.7322,0.7577,0.503846875958148,0.7322,13
21,0.7322,0.7577,0.5032350234942707,0.7322,13
22,0.7322,0.7577,0.5028038620614298,0.7322,13
23,0.7322,0.7577,0.5023502476953672,0.7322,13
