epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7355,0.6754,0.614691288466464,0.7355,1
2,0.7564,0.6939,0.5943745195105726,0.7564,2
3,0.7765,0.7098,0.5721388062981067,0.7765,3
4,0.784,0.717,0.5575565240264201,0.784,4
5,0.7872,0.7191,0.551756888571204,0.7872,5
6,0.7891,0.7204,0.548940309416164,0.7891,6
7,0.7902,0.721,0.5468064378924058,0.7902,7
8,0.7912,0.7215,0.5453480231880462,0.7912,8
9,0.7912,0.7215,0.5440732762311786,0.7912,8
10,0.7922,0.7222,0.5428450833357518,0.7922,10
11,0.7922,0.7222,0.5418860477144654,0.7922,10
12,0.7922,0.7222,0.5409572000565916,0.7922,10
13,0.7938,0.7228,0.5402835600822812,0.7938,13
14,0.7938,0.7228,0.5395563972922988,0.7938,13
15,0.7938,0.7228,0.5388535367488501,0.7938,13
16,0.7938,0.7228,0.5382892802690595,0.7938,13
17,0.7938,0.7228,0.5377829914648069,0.7938,13
18,0.7938,0.7228,0.5374727743358673,0.7938,13
19,0.7949,0.7237,0.5369296291289208,0.7949,19
20,0.7949,0.7237,0.5363926524428348,0.7949,19
21,0.7949,0.7237,0.5359316832462685,0.7949,19
22,0.7949,0.7237,0.5356372003640736,0.7949,19
23,0.7949,0.7237,0.5351959058928031,0.7949,19
24,0.7949,0.7237,0.534858506592618,0.7949,19
25,0.796,0.7246,0.5342866701883572,0.796,25
26,0.796,0.7246,0.5339877182555871,0.796,25
27,0.796,0.7246,0.5337424205105004,0.796,25
28,0.796,0.7246,0.5334570925409446,0.796,25
29,0.796,0.7246,0.5331262465184449,0.796,25
30,0.796,0.7246,0.5327035325873045,0.796,25
31,0.796,0.7246,0.5325640944762213,0.796,25
32,0.796,0.7246,0.5322214712960434,0.796,25
33,0.796,0.7246,0.5320950106473111,0.796,25
34,0.796,0.7246,0.5314613236752703,0.796,25
35,0.796,0.7246,0.5312580370358295,0.796,25
