epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7474,0.717,0.9503297508077303,0.7474,1
2,0.8341,0.8185,0.8072858589896152,0.8341,2
3,0.8726,0.8445,0.7158045234003285,0.8726,3
4,0.8849,0.8504,0.6695935482043162,0.8849,4
5,0.8919,0.8538,0.6446602953047375,0.8919,5
6,0.8973,0.8564,0.6262193143441944,0.8973,6
7,0.901,0.8581,0.612489733661023,0.901,7
8,0.9032,0.8585,0.6017076149496987,0.9032,8
9,0.9057,0.8598,0.5934278887157485,0.9057,9
10,0.9076,0.8608,0.5860676104217609,0.9076,10
11,0.9096,0.8618,0.5799173077252352,0.9096,11
12,0.9118,0.8621,0.5749670010057518,0.9118,12
13,0.9142,0.8636,0.5693050424350392,0.9142,13
14,0.9175,0.8653,0.5635458819376136,0.9175,14
15,0.9203,0.8675,0.5577371775944249,0.9203,15
16,0.922,0.8694,0.5511656130717101,0.922,16
17,0.9233,0.8711,0.5466810917340031,0.9233,17
18,0.9233,0.8711,0.5411730277471674,0.9233,17
19,0.9254,0.8724,0.5356324125232766,0.9254,19
20,0.9254,0.8724,0.5298031284041433,0.9254,19
21,0.9254,0.8724,0.5240375733217258,0.9254,19
22,0.9254,0.8724,0.5180851225202696,0.9254,19
23,0.9254,0.8724,0.5125967456238055,0.9254,19
24,0.9254,0.8724,0.5080535232645483,0.9254,19
25,0.9254,0.8724,0.5018577366349096,0.9254,19
26,0.9254,0.8724,0.4965154130713315,0.9254,19
27,0.9254,0.8724,0.49186533436803614,0.9254,19
28,0.9254,0.8724,0.48649696070985354,0.9254,19
29,0.9254,0.8724,0.4816050253368323,0.9254,19
