epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7166,0.6617,1.1229205762213512,0.7166,1
2,0.7214,0.664,1.0250769711764751,0.7214,2
3,0.7258,0.6664,0.9893343683716661,0.7258,3
4,0.7306,0.6724,0.9702362113107116,0.7306,4
5,0.7373,0.6772,0.959995888706029,0.7373,5
6,0.747,0.685,0.950299709242104,0.747,6
7,0.7569,0.6933,0.9399632587466459,0.7569,7
8,0.7644,0.7001,0.930180004750282,0.7644,8
9,0.7708,0.7051,0.9220536083676703,0.7708,9
10,0.7741,0.7073,0.9152481459767273,0.7741,10
11,0.7778,0.7097,0.9096829837135909,0.7778,11
12,0.7799,0.7118,0.9045646164819078,0.7799,12
13,0.7816,0.7144,0.899232546418263,0.7816,13
14,0.783,0.7153,0.8948285478222077,0.783,14
15,0.783,0.7153,0.8916713979728097,0.783,14
16,0.7854,0.7174,0.8873725933942401,0.7854,16
17,0.7854,0.7174,0.8837658670963087,0.7854,16
18,0.7854,0.7174,0.8801285467237441,0.7854,16
19,0.7869,0.7193,0.8766332853262012,0.7869,19
20,0.7869,0.7193,0.8737799002281469,0.7869,19
21,0.7869,0.7193,0.8707943884587351,0.7869,19
22,0.7885,0.7204,0.8677486626462596,0.7885,22
23,0.7885,0.7204,0.865452677356982,0.7885,22
24,0.7885,0.7204,0.863138783665882,0.7885,22
25,0.7885,0.7204,0.8612699194592577,0.7885,22
26,0.7885,0.7204,0.8588498373283145,0.7885,22
27,0.7896,0.7215,0.8574262099884283,0.7896,27
28,0.7896,0.7215,0.8551540915092312,0.7896,27
29,0.7896,0.7215,0.8533138439092878,0.7896,27
30,0.7908,0.7232,0.852339763120877,0.7908,30
31,0.7908,0.7232,0.8505248159765513,0.7908,30
32,0.7908,0.7232,0.8494044811807426,0.7908,30
33,0.7908,0.7232,0.8479106881885998,0.7908,30
34,0.7908,0.7232,0.8469951800805744,0.7908,30
35,0.7908,0.7232,0.8453044581606652,0.7908,30
36,0.7908,0.7232,0.8443148023896219,0.7908,30
37,0.7908,0.7232,0.8434496104228321,0.7908,30
38,0.7908,0.7232,0.8419964079949919,0.7908,30
39,0.7908,0.7232,0.8412605462273243,0.7908,30
40,0.792,0.7239,0.8406225316936119,0.792,40
41,0.792,0.7239,0.8393883346734087,0.792,40
42,0.792,0.7239,0.8388921363602347,0.792,40
43,0.792,0.7239,0.8380194844778387,0.792,40
44,0.792,0.7239,0.837413032446361,0.792,40
45,0.792,0.7239,0.8363765241471222,0.792,40
46,0.792,0.7239,0.8357385406382389,0.792,40
47,0.792,0.7239,0.8350474628181069,0.792,40
48,0.792,0.7239,0.8348125394271383,0.792,40
49,0.7931,0.7243,0.8335484659918608,0.7931,49
50,0.7931,0.7243,0.8335292462881048,0.7931,49
51,0.7931,0.7243,0.8327218754753724,0.7931,49
52,0.7931,0.7243,0.8322791379736101,0.7931,49
53,0.7931,0.7243,0.8312068468608895,0.7931,49
54,0.7931,0.7243,0.8309962790061091,0.7931,49
55,0.7931,0.7243,0.83047997179419,0.7931,49
56,0.7931,0.7243,0.8298651004168164,0.7931,49
57,0.7931,0.7243,0.8295949278460768,0.7931,49
58,0.7931,0.7243,0.8291902578504157,0.7931,49
59,0.7931,0.7243,0.8281876927342849,0.7931,49
