epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7433,0.7336,0.9466886542248829,0.7433,1
2,0.8434,0.8317,0.8001406292631738,0.8434,2
3,0.8784,0.8505,0.701545285245447,0.8784,3
4,0.8877,0.8573,0.6567131765253573,0.8877,4
5,0.8937,0.859,0.6336780587519324,0.8937,5
6,0.8973,0.8609,0.6171804118425144,0.8973,6
7,0.9005,0.8616,0.6055855183511581,0.9005,7
8,0.9029,0.8632,0.5981137562244973,0.9029,8
9,0.9046,0.8648,0.5894200433996416,0.9046,9
10,0.907,0.8652,0.5853270631131153,0.907,10
11,0.9093,0.867,0.5790621158987016,0.9093,11
12,0.9119,0.8675,0.573146003496551,0.9119,12
13,0.9147,0.8692,0.566839587683363,0.9147,13
14,0.9175,0.8711,0.5607711636362414,0.9175,14
15,0.9199,0.8733,0.5546113282087589,0.9199,15
16,0.9199,0.8733,0.5498003132782274,0.9199,15
17,0.922,0.8754,0.5465115065323588,0.922,17
18,0.9231,0.8753,0.5423810681581249,0.9231,18
19,0.9231,0.8753,0.5391212315695717,0.9231,18
20,0.9244,0.8743,0.5326623945394231,0.9244,20
21,0.9244,0.8743,0.5264975499359941,0.9244,20
22,0.9244,0.8743,0.5204120027866704,0.9244,20
23,0.9244,0.8743,0.5151969513367046,0.9244,20
24,0.9255,0.8766,0.5095888369252898,0.9255,24
25,0.9268,0.8787,0.5060994805311992,0.9268,25
26,0.9268,0.8787,0.500315021745239,0.9268,25
27,0.9268,0.8787,0.49699497073267235,0.9268,25
28,0.9268,0.8787,0.49494478029378874,0.9268,25
29,0.9279,0.8802,0.4900940331751237,0.9279,29
30,0.9279,0.8802,0.4858130022216412,0.9279,29
31,0.9279,0.8802,0.481553785908817,0.9279,29
32,0.9279,0.8802,0.4777391497285176,0.9279,29
33,0.9279,0.8802,0.4734486829155103,0.9279,29
34,0.9279,0.8802,0.4697643805554777,0.9279,29
35,0.9279,0.8802,0.4646191505167732,0.9279,29
36,0.9279,0.8802,0.46069262196208705,0.9279,29
37,0.9279,0.8802,0.4571569449257457,0.9279,29
38,0.9279,0.8802,0.4539939433438037,0.9279,29
39,0.9279,0.8802,0.44972699298374696,0.9279,29
