epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6963,0.8298,0.7371566225548648,0.6963,1
2,0.7388,0.8357,0.6518966624624094,0.7388,2
3,0.7515,0.8365,0.6258940474514367,0.7515,3
4,0.758,0.8373,0.6146224921396587,0.758,4
5,0.7633,0.8378,0.6075571753358084,0.7633,5
6,0.7672,0.8386,0.6027192439308481,0.7672,6
7,0.7715,0.839,0.598077482589898,0.7715,7
8,0.7765,0.8392,0.5941814506815836,0.7765,8
9,0.7821,0.8401,0.5899804974783541,0.7821,9
10,0.7871,0.8414,0.5852225525527404,0.7871,10
11,0.7923,0.8419,0.5808525689405615,0.7923,11
12,0.7944,0.8426,0.5768125329277294,0.7944,12
13,0.7967,0.8437,0.5732188784355333,0.7967,13
14,0.7986,0.8444,0.5698749867536373,0.7986,14
15,0.8003,0.8447,0.5673686056558153,0.8003,15
16,0.802,0.8454,0.5649474955450452,0.802,16
17,0.802,0.8454,0.5622619811197923,0.802,16
18,0.8034,0.8461,0.5597495748878145,0.8034,18
19,0.8053,0.8464,0.5578926255399113,0.8053,19
20,0.8069,0.8473,0.5558853391533617,0.8069,20
21,0.8069,0.8473,0.5539499993115653,0.8069,20
22,0.8069,0.8473,0.5519705606511058,0.8069,20
23,0.8083,0.8482,0.5500686435553952,0.8083,23
24,0.8096,0.8488,0.5481998875086809,0.8096,24
25,0.8096,0.8488,0.5463602549101421,0.8096,24
26,0.8096,0.8488,0.5445042396871755,0.8096,24
27,0.8111,0.8491,0.5428503737507967,0.8111,27
28,0.8125,0.8499,0.5411252397449531,0.8125,28
29,0.8125,0.8499,0.5398042317490062,0.8125,28
30,0.8125,0.8499,0.5378232482927968,0.8125,28
31,0.8125,0.8499,0.5359399983047642,0.8125,28
32,0.8125,0.8499,0.5342383370947599,0.8125,28
33,0.8125,0.8499,0.5326444716915725,0.8125,28
34,0.8125,0.8499,0.5313840297539715,0.8125,28
35,0.8125,0.8499,0.5293729208530467,0.8125,28
36,0.8125,0.8499,0.5284889173472831,0.8125,28
37,0.8125,0.8499,0.5265447393136443,0.8125,28
38,0.8125,0.8499,0.525073936703354,0.8125,28
