epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6966,0.7024,1.3962166661569169,0.6966,1
2,0.7831,0.777,1.2376194434558578,0.7831,2
3,0.8481,0.8212,1.1092321214491736,0.8481,3
4,0.8713,0.8352,1.0192152775252246,0.8713,4
5,0.8801,0.843,0.9709456653336568,0.8801,5
6,0.8871,0.8464,0.9392350533867191,0.8871,6
7,0.8921,0.8483,0.9143418870486513,0.8921,7
8,0.8961,0.8497,0.8936278367501577,0.8961,8
9,0.8989,0.8505,0.8773063138607826,0.8989,9
10,0.9012,0.8518,0.8642159995358407,0.9012,10
11,0.9033,0.8527,0.8541671137037999,0.9033,11
12,0.9053,0.8538,0.8448254412116991,0.9053,12
13,0.9074,0.8546,0.8365229971883938,0.9074,13
14,0.9095,0.8556,0.8289201640883741,0.9095,14
15,0.9117,0.8563,0.8223062709161244,0.9117,15
16,0.9144,0.8579,0.8160282258388957,0.9144,16
17,0.9172,0.8592,0.8087733702978351,0.9172,17
18,0.9193,0.8621,0.8023561541294506,0.9193,18
19,0.9209,0.864,0.7957464275197261,0.9209,19
20,0.922,0.8651,0.7892374578356999,0.922,20
21,0.923,0.866,0.7837289458221343,0.923,21
22,0.9241,0.8666,0.7774745653103476,0.9241,22
23,0.9241,0.8666,0.7715693097249504,0.9241,22
24,0.9241,0.8666,0.7664526395727823,0.9241,22
25,0.9241,0.8666,0.7609530459680328,0.9241,22
26,0.9241,0.8666,0.7555546522595732,0.9241,22
27,0.9251,0.8692,0.7498472776978716,0.9251,27
28,0.9251,0.8692,0.7447663523422974,0.9251,27
29,0.9251,0.8692,0.7389942962986301,0.9251,27
30,0.9251,0.8692,0.7334939972136326,0.9251,27
31,0.9251,0.8692,0.7273705459875454,0.9251,27
32,0.9251,0.8692,0.7222902426320109,0.9251,27
33,0.9251,0.8692,0.7175602813166804,0.9251,27
34,0.9251,0.8692,0.7117246446063059,0.9251,27
35,0.9251,0.8692,0.7065264224563919,0.9251,27
36,0.9251,0.8692,0.7016761389476278,0.9251,27
37,0.9251,0.8692,0.6966291104944814,0.9251,27
