epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7243,0.6943,1.3621994785330782,0.7243,1
2,0.7652,0.7386,1.2210610612928876,0.7652,2
3,0.7882,0.7553,1.1595672833322543,0.7882,3
4,0.7994,0.762,1.1242124481615903,0.7994,4
5,0.8076,0.7636,1.0980951409067468,0.8076,5
6,0.8123,0.7679,1.075109640121241,0.8123,6
7,0.8151,0.7703,1.0548970343459958,0.8151,7
8,0.8182,0.7723,1.0368104971208691,0.8182,8
9,0.821,0.7734,1.0279509179989443,0.821,9
10,0.8227,0.7741,1.018719173647357,0.8227,10
11,0.8243,0.7751,1.0149745103134564,0.8243,11
12,0.8275,0.7758,1.008395497308376,0.8275,12
13,0.8304,0.7778,1.0015375514962155,0.8304,13
14,0.8335,0.7786,0.994839098053906,0.8335,14
15,0.8358,0.7791,0.9896981035108673,0.8358,15
16,0.8393,0.7823,0.9798812270258169,0.8393,16
17,0.8412,0.7839,0.9740640097943941,0.8412,17
18,0.8449,0.7834,0.9722224710393504,0.8449,18
19,0.846,0.7853,0.9672452518698877,0.846,19
20,0.8481,0.7876,0.9610920173210914,0.8481,20
21,0.8481,0.7876,0.9556720303071774,0.8481,20
22,0.851,0.7898,0.951317972130684,0.851,22
23,0.851,0.7898,0.9437625635364183,0.851,22
24,0.8522,0.7897,0.9372530172400783,0.8522,24
25,0.8522,0.7897,0.9346575857814896,0.8522,24
26,0.854,0.7867,0.9326584717273535,0.854,26
27,0.854,0.7867,0.9257485495396675,0.854,26
28,0.854,0.7867,0.9215360048919523,0.854,26
29,0.8551,0.7917,0.9166369257017593,0.8551,29
30,0.8551,0.7917,0.9116106208756065,0.8551,29
31,0.8551,0.7917,0.9126940142688329,0.8551,29
32,0.8551,0.7917,0.9090745907319203,0.8551,29
33,0.8551,0.7917,0.907677115310106,0.8551,29
34,0.8551,0.7917,0.8990684341540018,0.8551,29
35,0.8551,0.7917,0.8972415511670065,0.8551,29
36,0.8551,0.7917,0.8924582456477858,0.8551,29
37,0.8551,0.7917,0.8868283455340306,0.8551,29
38,0.8551,0.7917,0.8870668522962871,0.8551,29
39,0.8551,0.7917,0.8859365710028868,0.8551,29
