epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6615,0.8331,1.1114496297766194,0.6615,1
2,0.722,0.8352,0.9568864498391055,0.722,2
3,0.7467,0.8391,0.8862402011703373,0.7467,3
4,0.7563,0.8399,0.8527587533275224,0.7563,4
5,0.7625,0.8407,0.8354638439598435,0.7625,5
6,0.7667,0.8416,0.8244132628403217,0.7667,6
7,0.771,0.8423,0.8160663039227216,0.771,7
8,0.775,0.8426,0.8095149105068289,0.775,8
9,0.7804,0.8434,0.8037612299559049,0.7804,9
10,0.7856,0.8442,0.7985818830604249,0.7856,10
11,0.79,0.8451,0.7931381162790071,0.79,11
12,0.7935,0.8459,0.788363751580961,0.7935,12
13,0.7964,0.8462,0.7838757165911413,0.7964,13
14,0.8002,0.8472,0.7788391164736742,0.8002,14
15,0.8027,0.848,0.7747662198676367,0.8027,15
16,0.8027,0.848,0.7711939854001334,0.8027,15
17,0.8059,0.8488,0.7674565047675799,0.8059,17
18,0.8077,0.8495,0.7645995564511039,0.8077,18
19,0.8077,0.8495,0.7613172233126779,0.8077,18
20,0.8092,0.8497,0.7582264551378148,0.8092,20
21,0.8106,0.8505,0.7560723952731196,0.8106,21
22,0.8123,0.8512,0.7533172093750734,0.8123,22
23,0.8123,0.8512,0.7506252832614024,0.8123,22
24,0.8123,0.8512,0.7478752816715163,0.8123,22
25,0.8137,0.8518,0.7457827957642714,0.8137,25
26,0.8158,0.8527,0.7432603937672921,0.8158,26
27,0.8158,0.8527,0.7408271047514094,0.8158,26
28,0.8158,0.8527,0.7381986076351497,0.8158,26
29,0.8169,0.8533,0.7361976241906398,0.8169,29
30,0.8169,0.8533,0.733638360449595,0.8169,29
31,0.8169,0.8533,0.7313470867981918,0.8169,29
32,0.8169,0.8533,0.7291225297058632,0.8169,29
33,0.8169,0.8533,0.7270467031992268,0.8169,29
34,0.8169,0.8533,0.7252475190050665,0.8169,29
35,0.8169,0.8533,0.72333309928747,0.8169,29
36,0.8169,0.8533,0.7209526793213188,0.8169,29
37,0.8169,0.8533,0.7192382332080954,0.8169,29
38,0.8169,0.8533,0.7171797084619903,0.8169,29
39,0.8169,0.8533,0.7154468311988792,0.8169,29
