epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.726,0.6689,1.5717590999226396,0.726,1
2,0.7311,0.6707,1.3693575151127568,0.7311,2
3,0.74,0.6768,1.3299289886685255,0.74,3
4,0.7547,0.6916,1.3102593320298126,0.7547,4
5,0.7668,0.7017,1.2908842453255625,0.7668,5
6,0.7745,0.7066,1.2729567655222938,0.7745,6
7,0.781,0.7134,1.2543198938265345,0.781,7
8,0.7836,0.7155,1.2415142376715194,0.7836,8
9,0.7854,0.7179,1.2282904990172738,0.7854,9
10,0.7866,0.7183,1.2136358873078719,0.7866,10
11,0.7866,0.7183,1.1998387719827122,0.7866,10
12,0.7888,0.7208,1.1869185866885505,0.7888,12
13,0.7888,0.7208,1.1775801237414965,0.7888,12
14,0.7905,0.7223,1.1700421093377593,0.7905,14
15,0.7905,0.7223,1.1634453591270562,0.7905,14
16,0.7916,0.7233,1.1583658300762032,0.7916,16
17,0.7916,0.7233,1.1536013177456899,0.7916,16
18,0.7916,0.7233,1.1498752328244954,0.7916,16
19,0.7928,0.7239,1.1454232634788695,0.7928,19
20,0.7928,0.7239,1.1427363100707675,0.7928,19
21,0.7928,0.7239,1.1407405017522514,0.7928,19
22,0.7928,0.7239,1.1375918470494601,0.7928,19
23,0.794,0.7255,1.1351674007708996,0.794,23
24,0.794,0.7255,1.1325692615968082,0.794,23
25,0.794,0.7255,1.131355767142725,0.794,23
26,0.795,0.726,1.1294096381115728,0.795,26
27,0.795,0.726,1.1278260932044242,0.795,26
28,0.795,0.726,1.1258442729147484,0.795,26
29,0.795,0.726,1.1241988765711863,0.795,26
30,0.795,0.726,1.122881063245975,0.795,26
31,0.795,0.726,1.1214222945175167,0.795,26
32,0.795,0.726,1.1197480065688383,0.795,26
33,0.7962,0.7271,1.1184587452181696,0.7962,33
34,0.7962,0.7271,1.11734893251822,0.7962,33
35,0.7962,0.7271,1.1165848185819307,0.7962,33
36,0.7962,0.7271,1.115136810951685,0.7962,33
37,0.7962,0.7271,1.114240352611153,0.7962,33
38,0.7962,0.7271,1.112819912271232,0.7962,33
39,0.7962,0.7271,1.1121327804883305,0.7962,33
40,0.7962,0.7271,1.111226824615028,0.7962,33
41,0.7974,0.7279,1.109776451020943,0.7974,41
42,0.7974,0.7279,1.1088937757054487,0.7974,41
43,0.7974,0.7279,1.1082184106555797,0.7974,41
44,0.7974,0.7279,1.106529056155591,0.7974,41
45,0.7974,0.7279,1.1059165106158695,0.7974,41
46,0.7974,0.7279,1.105588576094463,0.7974,41
47,0.7974,0.7279,1.1054669401191861,0.7974,41
48,0.7974,0.7279,1.1041169828687414,0.7974,41
49,0.7974,0.7279,1.103047884299208,0.7974,41
50,0.7974,0.7279,1.1027425841491547,0.7974,41
51,0.7974,0.7279,1.102109026571444,0.7974,41
