student_num,global_idx,step,skill_id,true_answer,prediction,correct,gain,mastery,total_steps,unique_skills
1,6,1,24,1,0.819574,1,0.583500,0.047166,10,3
1,6,2,24,1,0.887789,1,0.564653,0.058594,10,3
1,6,3,24,0,0.590730,0,0.580826,0.076509,10,3
1,6,4,27,0,0.707855,0,0.566745,0.044485,10,3
1,6,5,27,1,0.683204,1,0.581016,0.058466,10,3
1,6,6,27,1,0.744836,1,0.580758,0.076325,10,3
1,6,7,27,1,0.751276,1,0.581076,0.099004,10,3
1,6,8,27,1,0.715465,1,0.579607,0.126649,10,3
1,6,9,41,1,0.794783,1,0.579600,0.044921,10,3
1,6,10,41,1,0.796336,1,0.579163,0.058433,10,3
2,311,1,89,0,0.650049,0,0.580550,0.043027,13,3
2,311,2,90,1,0.701928,1,0.580993,0.043006,13,3
2,311,3,90,1,0.758970,1,0.552414,0.051051,13,3
2,311,4,90,1,0.809284,1,0.582140,0.066585,13,3
2,311,5,90,0,0.728193,0,0.577211,0.084917,13,3
2,311,6,89,0,0.632127,0,0.570822,0.054266,13,3
2,311,7,89,1,0.620962,1,0.563991,0.066668,13,3
2,311,8,89,1,0.762585,1,0.566386,0.082183,13,3
2,311,9,89,1,0.806223,1,0.566944,0.100935,13,3
2,311,10,89,0,0.780950,0,0.568732,0.123812,13,3
2,311,11,95,1,0.751072,1,0.565216,0.040869,13,3
2,311,12,95,1,0.840473,1,0.564930,0.050590,13,3
2,311,13,95,1,0.852577,1,0.565937,0.062619,13,3
3,415,1,20,1,0.835063,1,0.579884,0.047826,16,5
3,415,2,20,1,0.875833,1,0.571758,0.061086,16,5
3,415,3,20,1,0.819693,1,0.582244,0.080429,16,5
3,415,4,22,1,0.875414,1,0.561948,0.044041,16,5
3,415,5,22,1,0.883579,1,0.569334,0.055661,16,5
3,415,6,22,1,0.914069,1,0.567474,0.069628,16,5
3,415,7,67,1,0.930784,1,0.577172,0.044748,16,5
3,415,8,67,1,0.921925,1,0.580095,0.058379,16,5
3,415,9,67,1,0.888790,1,0.579241,0.075517,16,5
3,415,10,57,1,0.912981,1,0.577690,0.045130,16,5
3,415,11,57,1,0.904521,1,0.575926,0.058094,16,5
3,415,12,57,1,0.840445,1,0.575673,0.074340,16,5
3,415,13,33,0,0.873899,0,0.572499,0.047557,16,5
3,415,14,33,1,0.837287,1,0.582435,0.063311,16,5
3,415,15,33,1,0.894818,1,0.578018,0.082470,16,5
3,415,16,33,1,0.869783,1,0.580982,0.107659,16,5
4,278,1,79,0,0.853389,0,0.580520,0.044475,22,6
4,278,2,7,0,0.497531,1,0.548588,0.043058,22,6
4,278,3,2,1,0.449941,0,0.579175,0.050336,22,6
4,278,4,2,1,0.558538,1,0.555312,0.061368,22,6
4,278,5,2,0,0.608284,0,0.567591,0.077893,22,6
4,278,6,2,1,0.430714,0,0.570419,0.099267,22,6
4,278,7,2,0,0.565017,0,0.574333,0.127183,22,6
4,278,8,78,1,0.697434,1,0.575814,0.043169,22,6
4,278,9,12,0,0.730383,0,0.572329,0.046433,22,6
4,278,10,12,1,0.808967,1,0.575604,0.060071,22,6
4,278,11,7,1,0.900531,1,0.573238,0.055154,22,6
