student_num,global_idx,step,skill_id,true_answer,prediction,correct,gain,mastery,total_steps,unique_skills
1,6,1,24,1,0.822143,1,0.000000,0.542247,10,3
1,6,2,24,1,0.882109,1,0.000000,0.578857,10,3
1,6,3,24,0,0.609476,0,0.000000,0.587663,10,3
1,6,4,27,0,0.631937,0,0.000000,1.236232,10,3
1,6,5,27,1,0.667595,1,0.000000,1.236232,10,3
1,6,6,27,1,0.720570,1,0.000000,1.236232,10,3
1,6,7,27,1,0.701462,1,0.000000,1.236232,10,3
1,6,8,27,1,0.774980,1,0.000000,1.236232,10,3
1,6,9,41,1,0.761069,1,0.000000,0.557752,10,3
1,6,10,41,1,0.755895,1,0.000000,0.557752,10,3
2,311,1,89,0,0.653733,0,0.000000,0.629608,13,3
2,311,2,90,1,0.667996,1,0.000000,0.560104,13,3
2,311,3,90,1,0.733351,1,0.000000,0.560104,13,3
2,311,4,90,1,0.730047,1,0.000000,0.560104,13,3
2,311,5,90,0,0.762625,0,0.000000,0.560104,13,3
2,311,6,89,0,0.656525,0,0.000000,0.629608,13,3
2,311,7,89,1,0.618051,1,0.000000,0.629608,13,3
2,311,8,89,1,0.703474,1,0.000000,0.629608,13,3
2,311,9,89,1,0.733979,1,0.000000,0.629608,13,3
2,311,10,89,0,0.769847,0,0.000000,0.629608,13,3
2,311,11,95,1,0.706068,1,0.000000,1.529387,13,3
2,311,12,95,1,0.784377,1,0.000000,1.529387,13,3
2,311,13,95,1,0.782993,1,0.000000,1.644198,13,3
3,415,1,20,1,0.793039,1,0.000000,0.350288,16,5
3,415,2,20,1,0.846217,1,0.000000,0.350288,16,5
3,415,3,20,1,0.769603,1,0.000000,0.350288,16,5
3,415,4,22,1,0.849779,1,0.000000,0.668220,16,5
3,415,5,22,1,0.873116,1,0.000000,0.674559,16,5
3,415,6,22,1,0.922967,1,0.000000,0.712438,16,5
3,415,7,67,1,0.954173,1,0.000000,0.778132,16,5
3,415,8,67,1,0.952974,1,0.000000,0.813622,16,5
3,415,9,67,1,0.936286,1,0.000000,0.914876,16,5
3,415,10,57,1,0.932267,1,0.000000,1.217884,16,5
3,415,11,57,1,0.924404,1,0.000000,1.300334,16,5
3,415,12,57,1,0.868606,1,0.000000,1.300334,16,5
3,415,13,33,0,0.817783,0,0.000000,1.059544,16,5
3,415,14,33,1,0.815803,1,0.000000,1.059544,16,5
3,415,15,33,1,0.862095,1,0.000000,1.059544,16,5
3,415,16,33,1,0.839800,1,0.000000,1.083495,16,5
4,278,1,79,0,0.903252,0,0.000000,0.287154,22,6
4,278,2,7,0,0.462777,1,0.000000,1.460687,22,6
4,278,3,2,1,0.475843,0,0.000000,0.618225,22,6
4,278,4,2,1,0.524217,1,0.000000,0.618225,22,6
4,278,5,2,0,0.525265,0,0.000000,0.618225,22,6
4,278,6,2,1,0.502844,1,0.000000,0.618225,22,6
4,278,7,2,0,0.612604,0,0.000000,0.618225,22,6
4,278,8,78,1,0.743577,1,0.000000,1.068246,22,6
4,278,9,12,0,0.656988,0,0.000000,0.810105,22,6
4,278,10,12,1,0.753827,1,0.000000,0.810105,22,6
4,278,11,7,1,0.857082,1,0.000000,1.460687,22,6
4,278,12,7,1,0.868552,1,0.000000,1.460687,22,6
4,278,13,7,1,0.828153,1,0.000000,1.469269,22,6
4,278,14,63,1,0.865498,1,0.000000,0.684577,22,6
4,278,15,63,1,0.880473,1,0.000000,0.684577,22,6
