Run ID,GPU,Epochs,Batch Size,Learning Rate,Weight Decay,Patience,Enhanced Constraints,Best Val AUC,Consistency Score,Correlation Score,Combined Objective,Duration (min),Status
13,2,20,128,0.000348,0.000059,20,True,0.7259,1.0,N/A,0.5081,26.1,success
8,2,20,128,0.000453,0.000101,20,True,0.7234,1.0,N/A,0.5064,28.0,success
2,1,25,64,0.000404,0.000633,10,False,0.7222,1.0,N/A,0.5056,37.8,success
4,3,30,32,0.000916,0.000103,15,True,0.7209,1.0,N/A,0.5046,52.0,success
20,4,30,32,0.000806,0.000363,15,False,0.7206,1.0,N/A,0.5044,52.8,success
14,3,30,64,0.001502,0.000040,15,False,0.7203,1.0,N/A,0.5042,43.1,success
11,0,25,32,0.001643,0.000319,15,False,0.7200,1.0,N/A,0.5040,45.3,success
5,4,20,64,0.000855,0.000542,15,False,0.7181,1.0,N/A,0.5027,30.9,success
16,0,30,32,0.003276,0.000165,15,True,0.7176,1.0,N/A,0.5023,52.5,success
18,2,30,128,0.002053,0.000113,20,True,0.7166,1.0,N/A,0.5016,38.9,success
6,0,25,64,0.003036,0.000216,10,False,0.7150,1.0,N/A,0.5005,37.9,success
7,1,30,128,0.002892,0.000761,15,True,0.7117,1.0,N/A,0.4982,38.5,success
19,3,20,128,0.004650,0.000143,10,True,0.7081,1.0,N/A,0.4956,26.4,success
17,1,30,32,0.003808,0.000218,20,True,0.7050,1.0,N/A,0.4935,52.1,success
1,0,30,128,0.003312,0.000113,10,True,0.7027,1.0,N/A,0.4919,39.2,success
15,4,25,128,0.001987,0.000068,10,True,0.7022,1.0,N/A,0.4915,34.2,success
10,4,20,64,0.002482,0.000055,20,False,0.6877,1.0,N/A,0.4814,31.9,success
9,3,20,128,0.001130,0.000037,10,True,0.6494,1.0,N/A,0.4546,18.4,success
12,1,25,128,0.004894,0.000033,10,False,0.6431,1.0,N/A,0.4502,33.9,success
3,2,20,64,0.004523,0.000033,20,True,0.6427,1.0,N/A,0.4499,32.4,success
