epoch,valid_auc,valid_acc,train_loss,best_auc_so_far,best_epoch_so_far
1,0.7103,0.7495,0.5380660434599562,0.7103,1
2,0.7196,0.7546,0.5217449566191126,0.7196,2
3,0.7236,0.7558,0.5170692576145421,0.7236,3
4,0.7267,0.7564,0.5147759556173175,0.7267,4
5,0.7277,0.7566,0.5132880315692221,0.7277,5
6,0.7288,0.7571,0.5121738417649562,0.7288,6
7,0.7288,0.7571,0.5105564312939036,0.7288,6
8,0.7288,0.7571,0.5096572750212469,0.7288,6
9,0.7306,0.7575,0.509024793145542,0.7306,9
10,0.7306,0.7575,0.5080704024176584,0.7306,9
11,0.7306,0.7575,0.5074239874514126,0.7306,9
12,0.7318,0.7581,0.5066110937772367,0.7318,12
13,0.7318,0.7581,0.5057661506244773,0.7318,12
14,0.7318,0.7581,0.50511945496325,0.7318,12
15,0.7329,0.7577,0.5047220431526898,0.7329,15
16,0.7329,0.7577,0.50373478690446,0.7329,15
17,0.7329,0.7577,0.5031311379770379,0.7329,15
18,0.7329,0.7577,0.5028368340695281,0.7329,15
19,0.7329,0.7577,0.502058545245303,0.7329,15
20,0.7329,0.7577,0.5016106527827837,0.7329,15
21,0.7329,0.7577,0.5008025784342097,0.7329,15
22,0.7329,0.7577,0.500093574091292,0.7329,15
23,0.7329,0.7577,0.4996849033605545,0.7329,15
24,0.7329,0.7577,0.4990386226582261,0.7329,15
25,0.7329,0.7577,0.4987087316047916,0.7329,15
summary_dataset,assist2015
summary_model,akt
summary_best_auc,0.7329
summary_best_epoch,15
summary_final_epoch,25
summary_final_auc,0.7329
summary_final_acc,0.7577
summary_learning_rate,0.0001
summary_d_model,256
summary_d_ff,512
summary_num_attn_heads,8
summary_n_blocks,4
summary_dropout,0.2
summary_batch_size,64
summary_num_epochs_total,200
summary_epochs_observed,25
summary_seed,3407
