epoch,valid_auc,valid_acc,train_loss,best_auc_so_far,best_epoch_so_far
1,0.7107,0.7523,0.5425601174235852,0.7107,1
2,0.7194,0.7547,0.525507820762061,0.7194,2
3,0.7227,0.756,0.5212151306238607,0.7227,3
4,0.7227,0.756,0.5183333640872638,0.7227,3
5,0.725,0.7554,0.517104828301548,0.725,5
6,0.725,0.7554,0.5155027654545681,0.725,5
7,0.725,0.7554,0.5145051612045263,0.725,5
8,0.725,0.7554,0.5137097086189624,0.725,5
9,0.7261,0.756,0.5126708419358543,0.7261,9
10,0.7261,0.756,0.5120138158863171,0.7261,9
11,0.7261,0.756,0.5112157647904357,0.7261,9
12,0.7261,0.756,0.5107136181405977,0.7261,9
13,0.7261,0.756,0.5100281586546923,0.7261,9
14,0.7261,0.756,0.5094810571305097,0.7261,9
15,0.7261,0.756,0.5090977505639565,0.7261,9
16,0.7261,0.756,0.5085611792284697,0.7261,9
17,0.7261,0.756,0.5081748575835345,0.7261,9
18,0.7261,0.756,0.5077900052426852,0.7261,9
19,0.7261,0.756,0.5075618761639733,0.7261,9
summary_dataset,assist2015
summary_model,dtransformer
summary_best_auc,0.7261
summary_best_epoch,9
summary_final_epoch,19
summary_final_auc,0.7261
summary_final_acc,0.756
summary_learning_rate,0.001
summary_d_model,128
summary_d_ff,256
summary_num_attn_heads,4
summary_n_blocks_effective,4
summary_n_blocks_param,2
summary_dropout,0.3
summary_batch_size,32
summary_seq_len_param,100
summary_seq_len_effective,200
summary_n_know,8
summary_proj,False
summary_lambda_cl,0.05
summary_num_epochs_total,200
summary_epochs_observed,19
summary_seed,3407
