epoch,valid_auc,valid_acc,train_loss,best_auc_so_far,best_epoch_so_far,mastery_corr,gain_corr,mastery_ci_low,mastery_ci_high,gain_ci_low,gain_ci_high,mean_mastery_variance,min_mastery_variance,max_mastery_variance,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share,seed
1,0.6814379364768248,0.7419634254347974,0.595422,0.6814379364768248,1,0.0495877620675198,0.09390126599607551,-0.2988081224563065,0.3863200756111039,-0.25771575274432224,0.42355602460420005,0.029610,0.021953,0.035431,0.062390,-0.006489,0.0,0.0,21
2,0.7007947159161225,0.7462262406446778,0.534213,0.7007947159161225,2,0.015609989629681688,0.10447328988467006,-0.3294646252267013,0.3570057753599849,-0.2477206086473095,0.4322779386374518,0.018624,0.016300,0.025681,-0.000579,-0.038188,0.0,0.0,21
3,0.7026211117948007,0.7461678459157753,0.520564,0.7026211117948007,3,0.007060838780640664,0.08043137648195224,-0.3370652214879145,0.34952257625200034,-0.27034253960476956,0.4123541159615234,0.017293,0.016006,0.018372,-0.017025,-0.068606,0.0,0.0,21
4,0.7070349854755487,0.7479780825117519,0.510704,0.7070349854755487,4,0.0006422129172218302,0.08537410862434607,-0.3427423515428506,0.34387539363118436,-0.26572315472153324,0.4164763105452659,0.016691,0.015327,0.018295,-0.034996,-0.100621,0.0,0.0,21
5,0.7095221103102252,0.7487177490778499,0.497213,0.7095221103102252,5,0.0011439908753572846,0.08523755350184947,-0.3422994421081415,0.34431776019713917,-0.26585099350572433,0.4163626073587831,0.016575,0.015137,0.017731,-0.055893,-0.138414,0.0,0.0,21
6,0.7110660604523403,0.7493016963668746,0.510064,0.7110660604523403,6,-0.0032249541846361366,0.08264534272962795,-0.3461507089162942,0.3404609866590661,-0.2682754032033925,0.4142022261212639,0.015733,0.014206,0.017426,-0.029534,-0.123824,0.0,0.0,21
7,0.7141917309062258,0.7503722663967533,0.500344,0.7141917309062258,7,0.0021601998150889514,0.07768808288397755,-0.341401986864622,0.3452131816764927,-0.27289941990884126,0.4100603533705236,0.014667,0.013565,0.016205,-0.042552,-0.153151,0.0,0.0,21
8,0.7156086462545879,0.7508978189568755,0.507814,0.7156086462545879,8,0.009912157276040834,0.08669012094598999,-0.33453524115387695,0.3520232433345847,-0.2644905104814261,0.41757156298618414,0.014334,0.013458,0.015480,-0.023587,-0.147269,0.0,0.0,21
9,0.7164909568561697,0.7509562136857779,0.524863,0.7164909568561697,9,0.015328793481792807,0.09103437593740923,-0.3297153351570344,0.35676033517059647,-0.26041329760072807,0.4211802603048343,0.014161,0.013382,0.015060,0.011354,-0.107761,0.0,0.0,21
10,0.7171162557733387,0.7510827355984,0.524891,0.7171162557733387,10,0.017534701799577713,0.09187960184336263,-0.32774727559127553,0.3586844829457205,-0.2596185685612472,0.42188116218006316,0.013948,0.013229,0.014717,0.013610,-0.105318,0.0,0.000006,21
11,0.717602478112092,0.7511508627821195,0.535219,0.717602478112092,11,0.016699934905550558,0.08295614903221214,-0.32849238759696314,0.3579566815800597,-0.2679849506124991,0.4144614532853689,0.013791,0.013168,0.014381,0.033653,-0.079113,-0.003730,0.000012,21
