epoch,valid_auc,valid_acc,train_loss,best_auc_so_far,best_epoch_so_far,mastery_corr,gain_corr,mastery_ci_low,mastery_ci_high,gain_ci_low,gain_ci_high,mean_mastery_variance,min_mastery_variance,max_mastery_variance,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share,seed
1,0.7171902522814724,0.750577,0.544337,0.7171902522814724,1,0.0741673949839872,-0.0381800926186419,-0.2818147915696582,0.41220113362474875,-0.3817912123912916,0.3147035793855387,,,,0.022262,0.0,0.0,0.0,42
2,0.7241408413242484,0.753496,0.529549,0.7241408413242484,2,0.053385404869217945,-0.0009474077866000429,-0.3009100569862158,0.39473138388945017,-0.34952591037686204,0.3478614804811502,,,,0.029648,0.0,0.0,0.0,42
3,0.7247298099628056,0.753156,0.528417,0.7247298099628056,3,0.05686342818532519,-0.006485462201259458,-0.2977339922807053,0.39767237668647215,-0.35437802735676127,0.34298414675946015,,,,0.043565,0.0,0.0,0.0,42
4,0.720679119364608,0.749720,0.527107,0.7247298099628056,3,0.04966118370891944,-0.03206642640154739,-0.3043022534531741,0.391574433720727,-0.3712880280892935,0.31470708467621683,,,,0.057607,0.0,0.0,0.0,42
5,0.7125403285870772,0.746285,0.522320,0.7247298099628056,3,0.061791784812156726,-0.03300122635180394,-0.29322002824049115,0.40182780342933777,-0.3720945349279916,0.3138637272532977,,,,0.071743,0.0,0.0,0.0,42
6,0.7016628596252881,0.742567,0.512490,0.7247298099628056,3,0.027003678699989722,-0.013276464304375834,-0.32474812649070894,0.3721930716708139,-0.3603024422292651,0.33697751753810007,,,,0.086124,0.0,0.0,0.0,42
7,0.6913919650858097,0.740727,0.495773,0.7247298099628056,3,0.032080199778715096,-0.009365092633913061,-0.3201955329565721,0.3765618840435537,-0.3568936085906724,0.34044060398960097,,,,0.101420,0.0,0.0,0.0,42
8,0.6819380013261087,0.736737,0.475925,0.7247298099628056,3,0.0331499462114465,0.010343891232702981,-0.31923411072352237,0.37748054855805013,-0.33957487561345046,0.3577475190534651,,,,0.117659,0.0,0.0,0.0,42
9,0.6775098176505332,0.725301,0.447409,0.7247298099628056,3,0.020588072391122425,0.020928895498991545,-0.33047838134676183,0.3666498864192274,-0.33017461645961427,0.36694498222416605,,,,0.122308,0.0,0.0,0.0,42
10,0.6574114571317564,0.714304,0.400256,0.7247298099628056,3,0.03167005030544033,0.04225553090028394,-0.3205639577098007,0.37620948083229294,-0.31102110176347086,0.38527279600820297,,,,0.133224,0.0,0.0,0.0,42
11,0.6432029943270706,0.704367,0.363433,0.7247298099628056,3,0.03622924087279762,0.04527049250677376,-0.3164625751961656,0.38012117169566045,-0.30274367679189923,0.3826327015518951,,,,0.144648,0.0,0.0,0.0,42
12,0.629882143809687,0.697603,0.335971,0.7247298099628056,3,0.04868607319749274,0.05977876121496668,-0.3051889496195751,0.39074651956922135,-0.2950657043239035,0.4001321789309292,,,,0.154732,0.0,0.0,0.0,42
summary_dataset,assist2015
summary_model,gainakt2exp
summary_experiment,optimal_v1_single_seed
summary_seeds,42
summary_epochs,12
summary_batch_size,64
summary_learning_rate,0.000174
summary_best_auc_max,0.7247298099628056
summary_best_auc_mean,0.7247298099628056
summary_best_auc_min,0.7247298099628056
summary_best_auc_std,0.0
summary_final_val_accuracy_mean,0.697603
summary_mastery_corr_mean,0.043773
summary_gain_corr_mean,0.003772
summary_mastery_corr_std,0.0
summary_gain_corr_std,0.0
summary_gain_corr_max,0.05977876121496668
summary_gain_corr_min,-0.0381800926186419
summary_config_md5,27d8039159a9af7c4fe6432064ed848d
summary_monotonicity_violation_rate_final_mean,0.0
summary_negative_gain_rate_final_mean,0.0
summary_alignment_enabled,False
summary_global_alignment_enabled,False
summary_retention_enabled,False
summary_lag_enabled,False
summary_alignment_weight,0.25
summary_retention_weight,0.14
summary_lag_gain_weight,0.06
summary_mastery_performance_loss_weight,0.8
summary_gain_performance_loss_weight,0.8
summary_consistency_loss_weight,0.3
summary_sparsity_loss_weight,0.2
summary_alignment_share_cap,0.08
summary_alignment_share_decay_factor,0.7
summary_alignment_warmup_epochs,8
summary_devices,0|1|2|3|4
